periodoInicio;periodoFinal;nome;estado;cidade;modelo;porcentagem
21/10/18;21/11/18;ALAIR01-RMX01;AL;AIR01;RMX01;74.094
21/10/18;21/11/18;ALFAR02-RMX01;AL;FAR02;RMX01;73.999
21/10/18;21/11/18;BAAFA02-RMX01;BA;AFA02;RMX01;75.948
21/10/18;21/11/18;BAALC80-RMX01;BA;ALC80;RMX01;39.613
21/10/18;21/11/18;BAALG05-RMX01;BA;ALG05;RMX01;78.432
21/10/18;21/11/18;BAALR01-RMX01;BA;ALR01;RMX01;51.703
21/10/18;21/11/18;BAAMA20-RMX01;BA;AMA20;RMX01;75.004
21/10/18;21/11/18;BABJX02-RMX01;BA;BJX02;RMX01;80.484
21/10/18;21/11/18;BABLE80-RMX01;BA;BLE80;RMX01;40.606
21/10/18;21/11/18;BABLE81-RMX01;BA;BLE81;RMX01;79.042
21/10/18;21/11/18;BACAB04-RMX01;BA;CAB04;RMX01;
21/10/18;21/11/18;BACCT01-RMX01;BA;CCT01;RMX01;
21/10/18;21/11/18;BAEAP01-RMX01;BA;EAP01;RMX01;41.635
21/10/18;21/11/18;BAEMDR1-RMX01;BA;EMDR1;RMX01;40.115
21/10/18;21/11/18;BAFSA01-RMX01;BA;FSA01;RMX01;41.2
21/10/18;21/11/18;BAFSA38-RMX01;BA;FSA38;RMX01;40.711
21/10/18;21/11/18;BAGFN01-RMX01;BA;GFN01;RMX01;
21/10/18;21/11/18;BAGVM02-RMX01;BA;GVM02;RMX01;76.146
21/10/18;21/11/18;BAIBU10-RMX01;BA;IBU10;RMX01;
21/10/18;21/11/18;BAIMJR1-RMX01;BA;IMJR1;RMX01;
21/10/18;21/11/18;BAJAG02-RMX01;BA;JAG02;RMX01;75.299
21/10/18;21/11/18;BAJQE05-RMX01;BA;JQE05;RMX01;74.49
21/10/18;21/11/18;BALGC01-RMX01;BA;LGC01;RMX01;
21/10/18;21/11/18;BAPGU02-RMX01;BA;PGU02;RMX01;
21/10/18;21/11/18;BAPGU04-RMX01;BA;PGU04;RMX01;
21/10/18;21/11/18;BAPGU10-RMX01;BA;PGU10;RMX01;
21/10/18;21/11/18;BAPRD80-RMX01;BA;PRD80;RMX01;78.258
21/10/18;21/11/18;BAPTN01-RMX01;BA;PTN01;RMX01;
21/10/18;21/11/18;BARIBR2-RMX01;BA;RIBR2;RMX01;
21/10/18;21/11/18;BASCS01-RMX01;BA;SCS01;RMX01;
21/10/18;21/11/18;BASDA01-RMX01;BA;SDA01;RMX01;
21/10/18;21/11/18;BASDR02-RMX01;BA;SDR02;RMX01;42.335
21/10/18;21/11/18;BASDR02-RMX02;BA;SDR02;RMX02;42.218
21/10/18;21/11/18;BASER02-RMX01;BA;SER02;RMX01;
21/10/18;21/11/18;BASER02-RMX02;BA;SER02;RMX02;
21/10/18;21/11/18;BASERR1-RMX01;BA;SERR1;RMX01;40.034
21/10/18;21/11/18;BASNB01-RMX01;BA;SNB01;RMX01;39.905
21/10/18;21/11/18;BASNT02-RMX01;BA;SNT02;RMX01;
21/10/18;21/11/18;BASUY80-RMX01;BA;SUY80;RMX01;78.776
21/10/18;21/11/18;BASUY80-RMX02;BA;SUY80;RMX02;73.916
21/10/18;21/11/18;BATUCR1-RMX01;BA;TUCR1;RMX01;76.287
21/10/18;21/11/18;BATUCR3-RMX01;BA;TUCR3;RMX01;79.642
21/10/18;21/11/18;BAVCT01-RMX01;BA;VCT01;RMX01;44.536
21/10/18;21/11/18;BAVLT02-RMX01;BA;VLT02;RMX01;
21/10/18;21/11/18;CECEN93-RMX01;CE;CEN93;RMX01;39.184
21/10/18;21/11/18;CEPJS01-RMX01;CE;PJS01;RMX01;39.075
21/10/18;21/11/18;GOABIR1-RMX01;GO;ABIR1;RMX01;39.31
21/10/18;21/11/18;GOANSR1-RMX01;GO;ANSR1;RMX01;29.963
21/10/18;21/11/18;GOGNAI6-RMX01;GO;GNAI6;RMX01;40.451
21/10/18;21/11/18;GOGNAR1-RMX01;GO;GNAR1;RMX01;38.388
21/10/18;21/11/18;GOJRG01-RMX01;GO;JRG01;RMX01;39.649
21/10/18;21/11/18;GOPPS02-RMX01;GO;PPS02;RMX01;39.535
21/10/18;21/11/18;GORAS01-RMX01;GO;RAS01;RMX01;39.366
21/10/18;21/11/18;GOREP05-RMX01;GO;REP05;RMX01;
21/10/18;21/11/18;GOREP06-RMX01;GO;REP06;RMX01;39.924
21/10/18;21/11/18;MGCEN07-RMX01;MG;CEN07;RMX01;77.003
21/10/18;21/11/18;MGCJA80-RMX01;MG;CJA80;RMX01;75.262
21/10/18;21/11/18;MGCTG01-RMX01;MG;CTG01;RMX01;77.88
21/10/18;21/11/18;MGDIV80-RMX01;MG;DIV80;RMX01;74.305
21/10/18;21/11/18;MGGVD80-RMX01;MG;GVD80;RMX01;76.955
21/10/18;21/11/18;MGJML80-RMX01;MG;JML80;RMX01;74.997
21/10/18;21/11/18;MGJZF36-RMX01;MG;JZF36;RMX01;77.141
21/10/18;21/11/18;MGLAVR2-RMX01;MG;LAVR2;RMX01;79.807
21/10/18;21/11/18;MGMUR80-RMX01;MG;MUR80;RMX01;51.974
21/10/18;21/11/18;MGULA90-RMX01;MG;ULA90;RMX01;73.816
21/10/18;21/11/18;MGVAR81-RMX01;MG;VAR81;RMX01;87.569
21/10/18;21/11/18;MTCBA05-RMX01;MT;CBA05;RMX01;40.198
21/10/18;21/11/18;MTCBA37-RMX01;MT;CBA37;RMX01;39.81
21/10/18;21/11/18;MTCGI03-RMX01;MT;CGI03;RMX01;39.69
21/10/18;21/11/18;MTREP02-RMX01;MT;REP02;RMX01;39.259
21/10/18;21/11/18;PBPOS01-RMX01;PB;POS01;RMX01;73.243
21/10/18;21/11/18;PBVAR08-RMX01;PB;VAR08;RMX01;38.999
21/10/18;21/11/18;PBVAR08-RMX02;PB;VAR08;RMX02;71.37
21/10/18;21/11/18;RRBVA03-RMX01;RR;BVA03;RMX01;91.455
21/10/18;21/11/18;RRBVA03-RMX02;RR;BVA03;RMX02;85.653
21/10/18;21/11/18;SEEIT01-RMX01;SE;EIT01;RMX01;71.864
